time,open,high,low,close
2018-07-01T00:00:00Z,6391.08,6441.06,6251,6356.81
2018-07-02T00:00:00Z,6360.82,6685,6271.62,6615.29
2018-07-03T00:00:00Z,6615.29,6679.35,6463.01,6513.86
2018-07-04T00:00:00Z,6511.01,6784.92,6441.11,6586.98
2018-07-05T00:00:00Z,6585.53,6712,6453.33,6529.2
2018-07-06T00:00:00Z,6529.2,6648.54,6425,6609.78
2018-07-07T00:00:00Z,6609.79,6818.16,6508.88,6756.98
2018-07-08T00:00:00Z,6753.48,6780,6667.44,6712.1
2018-07-09T00:00:00Z,6712.1,6802.06,6612.24,6662.12
2018-07-10T00:00:00Z,6662.78,6681,6263,6296.91
2018-07-11T00:00:00Z,6296.91,6406,6278.99,6378.07
2018-07-12T00:00:00Z,6378.07,6380.28,6070,6250.57
2018-07-13T00:00:00Z,6251.4,6350,6110,6214.57
2018-07-14T00:00:00Z,6214.57,6335,6178,6251.99
2018-07-15T00:00:00Z,6250.9,6395,6225.4,6353.01
2018-07-16T00:00:00Z,6354.15,6747.3,6330.4,6723.35
2018-07-17T00:00:00Z,6723.33,7468.99,6652.04,7317.44
2018-07-18T00:00:00Z,7317.44,7588.08,7225.38,7381.9
2018-07-19T00:00:00Z,7381.88,7576.28,7270,7466.21
2018-07-20T00:00:00Z,7468.86,7700,7273,7337.53
2018-07-21T00:00:00Z,7337.47,7458.47,7211,7398.78
2018-07-22T00:00:00Z,7399.25,7582.4,7335.5,7394.79
2018-07-23T00:00:00Z,7394.78,7833,7375,7721.01
2018-07-24T00:00:00Z,7721.65,8486,7696,8397.24
2018-07-25T00:00:00Z,8397.24,8491.77,8050,8175.64
2018-07-26T00:00:00Z,8175.63,8315.69,7850.06,7920
2018-07-27T00:00:00Z,7920,8285,7805,8188.57
2018-07-28T00:00:00Z,8188.57,8246.54,8067,8225.04
2018-07-29T00:00:00Z,8225.04,8294.51,8115,8211
2018-07-30T00:00:00Z,8210.99,8273,7866,8173.92
2018-07-31T00:00:00Z,8171.4,8180,7633,7730.93
2018-08-01T00:00:00Z,7735.67,7750,7430,7604.58
2018-08-02T00:00:00Z,7600.08,7709.46,7455.72,7525.71
2018-08-03T00:00:00Z,7525.71,7540,7282.44,7418.78
2018-08-04T00:00:00Z,7412.27,7494.81,6926,7009.84
2018-08-05T00:00:00Z,7009.84,7089.87,6882.29,7024.19
2018-08-06T00:00:00Z,7024.19,7160,6821,6934.82
2018-08-07T00:00:00Z,6935,7150.46,6670,6720.06
2018-08-08T00:00:00Z,6720.63,6721.54,6123,6285
2018-08-09T00:00:00Z,6283.27,6622.81,6178.6,6529.79
2018-08-10T00:00:00Z,6529.79,6575.88,6026.39,6144.01
2018-08-11T00:00:00Z,6148.13,6488,5971,6232.35
2018-08-12T00:00:00Z,6222.55,6472.3,6130,6308.33
2018-08-13T00:00:00Z,6308.56,6545,6145.04,6246.35
2018-08-14T00:00:00Z,6248.25,6250.33,5880,6188.08
2018-08-15T00:00:00Z,6188.08,6609,6172.11,6267.16
2018-08-16T00:00:00Z,6265.27,6480,6205.6,6311.75
2018-08-17T00:00:00Z,6316,6585,6285.4,6584.49
2018-08-18T00:00:00Z,6579.04,6620,6288,6387.96
2018-08-19T00:00:00Z,6387.96,6541,6300,6477.53
2018-08-20T00:00:00Z,6477.53,6530,6220,6254.84
2018-08-21T00:00:00Z,6251,6500,6235.08,6480
2018-08-22T00:00:00Z,6479.98,6882.54,6251.2,6360.89
2018-08-23T00:00:00Z,6362.57,6576.99,6342.28,6525.01
2018-08-24T00:00:00Z,6525,6725,6440.5,6681.64
2018-08-25T00:00:00Z,6686.98,6789,6650.61,6733.64
2018-08-26T00:00:00Z,6733.64,6775.27,6568,6700
2018-08-27T00:00:00Z,6700,6940.51,6646.5,6908.64
2018-08-28T00:00:00Z,6907.26,7135,6860,7076.11
2018-08-29T00:00:00Z,7077,7133.81,6912.34,7031.22
2018-08-30T00:00:00Z,7033.21,7063.63,6784.81,6984.84
2018-08-31T00:00:00Z,6984.84,7089,6888,7011.21
2018-09-01T00:00:00Z,7011.21,7275,7008.74,7200.01
2018-09-02T00:00:00Z,7201.57,7345.45,7127,7302.01
2018-09-03T00:00:00Z,7302,7338.28,7191.63,7263.02
2018-09-04T00:00:00Z,7263,7410,7227.17,7359.06
2018-09-05T00:00:00Z,7359.05,7397.3,6682,6700
2018-09-06T00:00:00Z,6697.27,6725,6265,6516.01
2018-09-07T00:00:00Z,6516.84,6544,6320,6395.54
2018-09-08T00:00:00Z,6395.54,6478,6111,6185.05
2018-09-09T00:00:00Z,6185.06,6441,6141.53,6250.81
2018-09-10T00:00:00Z,6252.26,6373.98,6221,6312
2018-09-11T00:00:00Z,6311.99,6404,6169.68,6294.91
2018-09-12T00:00:00Z,6293,6360,6192.37,6338.62
2018-09-13T00:00:00Z,6338.62,6535,6337.4,6487.38
2018-09-14T00:00:00Z,6487.39,6584.99,6385.62,6476.63
2018-09-15T00:00:00Z,6476.63,6565.45,6466.13,6514.96
2018-09-16T00:00:00Z,6514.96,6524.62,6370,6505
2018-09-17T00:00:00Z,6500.08,6533.84,6201,6248.69
2018-09-18T00:00:00Z,6248.69,6390,6224.98,6336.45
2018-09-19T00:00:00Z,6336.39,6517.7,6123,6391.89
2018-09-20T00:00:00Z,6392,6540,6325,6492
2018-09-21T00:00:00Z,6492,6784.86,6491,6759.02
2018-09-22T00:00:00Z,6759.01,6839.03,6627,6723.05
2018-09-23T00:00:00Z,6723.05,6788.23,6661.75,6708
2018-09-24T00:00:00Z,6706.81,6730,6557,6581.39
2018-09-25T00:00:00Z,6581.42,6584.01,6325.02,6447.54
2018-09-26T00:00:00Z,6445.11,6557.99,6379.7,6465.12
2018-09-27T00:00:00Z,6467.84,6750,6434,6689.13
2018-09-28T00:00:00Z,6689.12,6814.8,6540.88,6634.58
2018-09-29T00:00:00Z,6634.58,6636,6464.57,6596.38
